[2022-12-26 07:03:18.553] [info] Focus Quality Measure : 248.69516775506173
[2022-12-26 07:03:18.605] [info] Focus Quality Measure : 251.64958291555558
[2022-12-26 07:03:18.655] [info] Focus Quality Measure : 251.6655426666667
[2022-12-26 07:03:18.706] [info] Focus Quality Measure : 251.7866825461728
[2022-12-26 07:03:18.757] [info] Focus Quality Measure : 251.63738927358025
[2022-12-26 07:03:18.808] [info] Focus Quality Measure : 253.0073976869136
[2022-12-26 07:03:18.859] [info] Focus Quality Measure : 249.98264827209874
[2022-12-26 07:03:18.910] [info] Focus Quality Measure : 251.48484661728398
[2022-12-26 07:03:18.961] [info] Focus Quality Measure : 250.6352886202469
[2022-12-26 07:03:19.012] [info] Focus Quality Measure : 251.74394220987654
[2022-12-26 07:03:19.063] [info] Focus Quality Measure : 250.50315911061733
[2022-12-26 07:03:19.113] [info] Focus Quality Measure : 250.23346462765434
[2022-12-26 07:03:19.164] [info] Focus Quality Measure : 252.0780252424692
[2022-12-26 07:03:19.215] [info] Focus Quality Measure : 251.9264794069136
[2022-12-26 07:03:19.266] [info] Focus Quality Measure : 249.03171198765432
[2022-12-26 07:03:19.317] [info] Focus Quality Measure : 251.73598740543213
[2022-12-26 07:03:19.368] [info] Focus Quality Measure : 251.18492355506177
[2022-12-26 07:03:19.419] [info] Focus Quality Measure : 249.91546147111106
[2022-12-26 07:03:19.469] [info] Focus Quality Measure : 249.25940988839508
[2022-12-26 07:03:19.520] [info] Focus Quality Measure : 251.32826239209876
[2022-12-26 07:03:19.571] [info] Focus Quality Measure : 250.54493979209877
[2022-12-26 07:03:19.622] [info] Focus Quality Measure : 250.6167071111111
[2022-12-26 07:03:19.673] [info] Focus Quality Measure : 249.37274514765429
[2022-12-26 07:03:19.724] [info] Focus Quality Measure : 251.31755655111112
[2022-12-26 07:03:19.775] [info] Focus Quality Measure : 250.9269997017284
[2022-12-26 07:03:19.826] [info] Focus Quality Measure : 249.0503801358025
[2022-12-26 07:03:19.876] [info] Focus Quality Measure : 251.33064059061726
[2022-12-26 07:03:19.927] [info] Focus Quality Measure : 249.13546751802468
[2022-12-26 07:03:19.978] [info] Focus Quality Measure : 251.21909322222226
[2022-12-26 07:03:20.029] [info] Focus Quality Measure : 251.09516957580252
[2022-12-26 07:03:20.080] [info] Focus Quality Measure : 251.89132266666667
[2022-12-26 07:03:20.131] [info] Focus Quality Measure : 249.09500696839507
[2022-12-26 07:03:20.182] [info] Focus Quality Measure : 251.28368199061728
[2022-12-26 07:03:20.233] [info] Focus Quality Measure : 253.17993712543213
[2022-12-26 07:03:20.284] [info] Focus Quality Measure : 250.39588390666665
[2022-12-26 07:03:20.335] [info] Focus Quality Measure : 252.16265865432098
[2022-12-26 07:03:20.386] [info] Focus Quality Measure : 250.31285328395066
[2022-12-26 07:03:20.436] [info] Focus Quality Measure : 249.8530524424692
[2022-12-26 07:03:20.490] [info] Focus Quality Measure : 250.81747069580246
[2022-12-26 07:03:20.549] [info] Focus Quality Measure : 249.39242587654326
[2022-12-26 07:03:20.600] [info] Focus Quality Measure : 251.6043145476543
[2022-12-26 07:03:20.652] [info] Focus Quality Measure : 252.47320483506172
[2022-12-26 07:03:20.703] [info] Focus Quality Measure : 251.28295768839507
[2022-12-26 07:03:20.753] [info] Focus Quality Measure : 249.95987981777776
[2022-12-26 07:03:20.804] [info] Focus Quality Measure : 251.79610216246914
[2022-12-26 07:03:20.856] [info] Focus Quality Measure : 250.8074997288889
[2022-12-26 07:03:20.906] [info] Focus Quality Measure : 250.9834057832099
[2022-12-26 07:03:20.957] [info] Focus Quality Measure : 249.29438292888892
[2022-12-26 07:03:21.008] [info] Focus Quality Measure : 251.75509530666668
[2022-12-26 07:03:21.059] [info] Focus Quality Measure : 249.9317311920988
[2022-12-26 07:03:21.110] [info] Focus Quality Measure : 249.72725967358025
[2022-12-26 07:03:21.161] [info] Focus Quality Measure : 248.64307370666674
[2022-12-26 07:03:21.212] [info] Focus Quality Measure : 249.91588408444446
[2022-12-26 07:03:21.263] [info] Focus Quality Measure : 249.64753904000005
[2022-12-26 07:03:21.314] [info] Focus Quality Measure : 249.12827646222223
[2022-12-26 07:03:21.365] [info] Focus Quality Measure : 251.60680711111118
[2022-12-26 07:03:21.416] [info] Focus Quality Measure : 248.80526183506174
[2022-12-26 07:03:21.467] [info] Focus Quality Measure : 252.67242968839503
[2022-12-26 07:03:21.518] [info] Focus Quality Measure : 249.70353967209877
[2022-12-26 07:03:21.569] [info] Focus Quality Measure : 249.70519599209874
[2022-12-26 07:03:21.619] [info] Focus Quality Measure : 251.66167816246917
[2022-12-26 07:03:21.670] [info] Focus Quality Measure : 248.86161033283955
[2022-12-26 07:03:21.721] [info] Focus Quality Measure : 250.6240265461728
[2022-12-26 07:03:21.772] [info] Focus Quality Measure : 249.86804773135805
[2022-12-26 07:03:21.823] [info] Focus Quality Measure : 249.24137732543213
[2022-12-26 07:03:21.874] [info] Focus Quality Measure : 248.62724314024697
[2022-12-26 07:03:21.925] [info] Focus Quality Measure : 250.65081114024693
[2022-12-26 07:03:21.975] [info] Focus Quality Measure : 248.78656877777783
[2022-12-26 07:03:22.025] [info] Focus Quality Measure : 251.31806572839506
[2022-12-26 07:03:22.077] [info] Focus Quality Measure : 250.6676351758025
[2022-12-26 07:03:22.127] [info] Focus Quality Measure : 250.08914766222225
[2022-12-26 07:03:22.178] [info] Focus Quality Measure : 248.12427069432104
[2022-12-26 07:03:22.229] [info] Focus Quality Measure : 249.217261651358
[2022-12-26 07:03:22.280] [info] Focus Quality Measure : 248.6699301683951
[2022-12-26 07:03:22.331] [info] Focus Quality Measure : 251.12104176
[2022-12-26 07:03:22.382] [info] Focus Quality Measure : 250.75796193135798
[2022-12-26 07:03:22.432] [info] Focus Quality Measure : 249.84303856000005
[2022-12-26 07:03:22.483] [info] Focus Quality Measure : 250.61707842172845
[2022-12-26 07:03:22.534] [info] Focus Quality Measure : 250.10391013135802
[2022-12-26 07:03:22.585] [info] Focus Quality Measure : 250.21804727111115
[2022-12-26 07:03:22.636] [info] Focus Quality Measure : 250.02977917580253
[2022-12-26 07:03:22.687] [info] Focus Quality Measure : 250.7731046711111
[2022-12-26 07:03:22.738] [info] Focus Quality Measure : 251.4525849476543
[2022-12-26 07:03:22.789] [info] Focus Quality Measure : 250.33458455506178
[2022-12-26 07:03:22.840] [info] Focus Quality Measure : 252.26981364888888
[2022-12-26 07:03:22.891] [info] Focus Quality Measure : 248.36564833777777
[2022-12-26 07:03:22.942] [info] Focus Quality Measure : 250.00582216246914
[2022-12-26 07:03:22.993] [info] Focus Quality Measure : 250.50429345135805
[2022-12-26 07:03:23.044] [info] Focus Quality Measure : 250.2382087106173
[2022-12-26 07:03:23.095] [info] Focus Quality Measure : 249.34699946469138
[2022-12-26 07:03:23.146] [info] Focus Quality Measure : 250.75802751802465
[2022-12-26 07:03:23.196] [info] Focus Quality Measure : 251.33831116987653
[2022-12-26 07:03:23.247] [info] Focus Quality Measure : 251.35651007950622
[2022-12-26 07:03:23.298] [info] Focus Quality Measure : 249.16129480246911
[2022-12-26 07:03:23.349] [info] Focus Quality Measure : 248.7554923333334
[2022-12-26 07:03:23.400] [info] Focus Quality Measure : 252.0000826069136
[2022-12-26 07:03:23.452] [info] Focus Quality Measure : 249.04486893777775
[2022-12-26 07:03:23.503] [info] Focus Quality Measure : 250.31066897728394
[2022-12-26 07:03:23.554] [info] Focus Quality Measure : 252.08458096000004
[2022-12-26 07:03:23.604] [info] Focus Quality Measure : 249.83849848098762
[2022-12-26 07:03:23.655] [info] Focus Quality Measure : 250.88234511802472
[2022-12-26 07:03:23.706] [info] Focus Quality Measure : 250.3300528350617
[2022-12-26 07:03:23.757] [info] Focus Quality Measure : 249.99934364246917
[2022-12-26 07:03:23.808] [info] Focus Quality Measure : 251.26607110666674
[2022-12-26 07:03:23.859] [info] Focus Quality Measure : 251.97264750172843
[2022-12-26 07:03:23.910] [info] Focus Quality Measure : 250.00652493777773
[2022-12-26 07:03:23.961] [info] Focus Quality Measure : 247.99009690666674
[2022-12-26 07:03:24.012] [info] Focus Quality Measure : 250.53944852888895
[2022-12-26 07:03:24.063] [info] Focus Quality Measure : 249.18839470172844
[2022-12-26 07:03:24.114] [info] Focus Quality Measure : 249.56732087654322
[2022-12-26 07:03:24.165] [info] Focus Quality Measure : 249.74812775506172
[2022-12-26 07:03:24.216] [info] Focus Quality Measure : 249.03593200543213
[2022-12-26 07:03:24.267] [info] Focus Quality Measure : 250.87504625728403
[2022-12-26 07:03:24.317] [info] Focus Quality Measure : 252.22636661728396
[2022-12-26 07:03:24.369] [info] Focus Quality Measure : 251.00383553135802
